Method.Job.AnalyzeLaunchVariance.EvaluateOverhead.MaxAbsoluteError.MaxRelativeError.MinInvokeCount.MinIterationTime.OutlierMode.Affinity.EnvironmentVariables.Jit.Platform.Runtime.AllowVeryLargeObjects.Concurrent.CpuGroups.Force.HeapAffinitizeMask.HeapCount.NoAffinitize.RetainVm.Server.Arguments.BuildConfiguration.Clock.EngineFactory.NuGetReferences.Toolchain.IsMutator.InvocationCount.IterationCount.IterationTime.LaunchCount.MaxIterationCount.MaxWarmupIterationCount.MinIterationCount.MinWarmupIterationCount.RunStrategy.UnrollFactor.WarmupCount.Count.Mean.Error.StdDev.Ratio.RatioSD.Gen 0/1k Op.Gen 1/1k Op.Gen 2/1k Op.Allocated Memory/Op
Read_File.Default.False.Default.Default.Default.Default.Default.Default.0000.Empty.RyuJit.X64.Core.False.True.False.True.Default.Default.False.False.False.Default.Default.Default.Default.Default.Default.Default.1.Default.Default.Default.Default.Default.Default.Default.Default.16.Default.100."2.685 ms"."0.0241 ms"."0.0214 ms"."1.00"."0.00"."492.1875"."3.9063".-."761.46 KB"
Read_MMap.Default.False.Default.Default.Default.Default.Default.Default.0000.Empty.RyuJit.X64.Core.False.True.False.True.Default.Default.False.False.False.Default.Default.Default.Default.Default.Default.Default.1.Default.Default.Default.Default.Default.Default.Default.Default.16.Default.100."2.595 ms"."0.0281 ms"."0.0249 ms"."0.97"."0.01"."492.1875"."3.9063".-."762.98 KB"
Read_File.Default.False.Default.Default.Default.Default.Default.Default.0000.Empty.RyuJit.X64.Core.False.True.False.True.Default.Default.False.False.False.Default.Default.Default.Default.Default.Default.Default.1.Default.Default.Default.Default.Default.Default.Default.Default.16.Default.10000."292.973 ms"."4.2335 ms"."3.7529 ms"."1.00"."0.00"."35000.0000"."1000.0000".-."73383.09 KB"
Read_MMap.Default.False.Default.Default.Default.Default.Default.Default.0000.Empty.RyuJit.X64.Core.False.True.False.True.Default.Default.False.False.False.Default.Default.Default.Default.Default.Default.Default.1.Default.Default.Default.Default.Default.Default.Default.Default.16.Default.10000."251.432 ms"."4.9769 ms"."7.6003 ms"."0.84"."0.02"."36000.0000"."1000.0000".-."73376.97 KB"
